epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,73.2113,0.66693,0.81944,1,0.41104,0.00014994,0.00014994,0.00014994
2,145.538,0.34402,0.88889,1,0.24408,0.000298336,0.000298336,0.000298336
3,217.8,0.17577,0.98611,1,0.07896,0.000437845,0.000437845,0.000437845
4,289.745,0.09307,0.98611,1,0.01996,0.000568468,0.000568468,0.000568468
5,363.057,0.1397,1,1,0.01369,0.000633216,0.000633216,0.000633216
6,436.475,0.06682,0.98611,1,0.04636,0.00061302,0.00061302,0.00061302
7,509.862,0.04786,0.98611,1,0.03515,0.000592824,0.000592824,0.000592824
8,582.766,0.087,1,1,0.01777,0.000572628,0.000572628,0.000572628
9,656.542,0.06855,1,1,0.02694,0.000552432,0.000552432,0.000552432
10,729.395,0.15092,0.98611,1,0.04695,0.000532236,0.000532236,0.000532236
11,802.39,0.05456,1,1,0.00942,0.00051204,0.00051204,0.00051204
12,875.679,0.0455,0.97222,1,0.03009,0.000491844,0.000491844,0.000491844
13,948.946,0.07803,0.97222,1,0.0679,0.000471648,0.000471648,0.000471648
14,1022.72,0.04973,0.98611,1,0.05769,0.000451452,0.000451452,0.000451452
15,1096.35,0.04466,1,1,0.00732,0.000431256,0.000431256,0.000431256
16,1169.98,0.02772,1,1,0.00253,0.00041106,0.00041106,0.00041106
17,1243.8,0.0078,1,1,0.00227,0.000390864,0.000390864,0.000390864
18,1317.46,0.01416,1,1,0.00293,0.000370668,0.000370668,0.000370668
19,1390.44,0.02361,1,1,0.00532,0.000350472,0.000350472,0.000350472
20,1462.97,0.01055,1,1,0.0176,0.000330276,0.000330276,0.000330276
21,1536.2,0.04141,1,1,0.01386,0.00031008,0.00031008,0.00031008
22,1609.85,0.03596,1,1,0.00463,0.000289884,0.000289884,0.000289884
23,1684.46,0.01,1,1,0.00402,0.000269688,0.000269688,0.000269688
24,1760.25,0.04554,1,1,0.00533,0.000249492,0.000249492,0.000249492
25,1833.31,0.01081,1,1,0.00344,0.000229296,0.000229296,0.000229296
26,1906.37,0.01769,1,1,0.00572,0.0002091,0.0002091,0.0002091
27,1978.95,0.0285,1,1,0.00328,0.000188904,0.000188904,0.000188904
28,2053.74,0.02613,1,1,0.00418,0.000168708,0.000168708,0.000168708
29,2126.07,0.01328,1,1,0.00719,0.000148512,0.000148512,0.000148512
30,2198.17,0.00621,1,1,0.00705,0.000128316,0.000128316,0.000128316
31,2269.89,0.01074,1,1,0.00736,0.00010812,0.00010812,0.00010812
32,2342.6,0.01164,1,1,0.0054,8.7924e-05,8.7924e-05,8.7924e-05
33,2415.13,0.0089,1,1,0.01164,6.7728e-05,6.7728e-05,6.7728e-05
34,2487.39,0.01134,1,1,0.01502,4.7532e-05,4.7532e-05,4.7532e-05
35,2559.39,0.00417,1,1,0.00445,2.7336e-05,2.7336e-05,2.7336e-05
